trajectory_key,case,Id,split
case3::67,case3,67,validation
case3::68,case3,68,train
case3::69,case3,69,train
case3::70,case3,70,train
case3::71,case3,71,validation
case3::72,case3,72,train
case3::73,case3,73,train
case3::74,case3,74,train
case3::75,case3,75,train
case3::76,case3,76,train
case3::77,case3,77,train
case3::78,case3,78,train
case3::79,case3,79,test
case3::80,case3,80,train
case3::81,case3,81,train
case3::82,case3,82,train
case3::83,case3,83,train
case3::84,case3,84,train
case3::85,case3,85,train
case3::86,case3,86,test
case3::87,case3,87,train
case3::88,case3,88,train
case3::89,case3,89,train
case3::90,case3,90,validation
case3::91,case3,91,train
case3::92,case3,92,train
case3::93,case3,93,train
case3::94,case3,94,test
case3::95,case3,95,validation
case3::96,case3,96,train
case3::97,case3,97,train
case3::98,case3,98,validation
case3::99,case3,99,train
case3::100,case3,100,train
case4::1,case4,1,train
case4::2,case4,2,train
case4::3,case4,3,train
case4::4,case4,4,test
case4::5,case4,5,train
case4::6,case4,6,train
case4::7,case4,7,train
case4::8,case4,8,train
case4::9,case4,9,train
case4::10,case4,10,train
case4::11,case4,11,validation
case4::12,case4,12,validation
case4::13,case4,13,train
case4::14,case4,14,train
case4::15,case4,15,validation
case4::16,case4,16,train
case4::17,case4,17,test
case4::18,case4,18,validation
case4::19,case4,19,train
case4::20,case4,20,validation
case4::21,case4,21,train
case4::22,case4,22,train
case4::23,case4,23,train
case4::24,case4,24,train
case4::25,case4,25,validation
case4::26,case4,26,train
case4::27,case4,27,train
case4::28,case4,28,test
case4::29,case4,29,train
case4::30,case4,30,validation
case4::31,case4,31,test
case4::32,case4,32,train
case4::33,case4,33,train
case4::34,case4,34,train
case4::35,case4,35,validation
case4::36,case4,36,train
case4::37,case4,37,train
case4::38,case4,38,train
case4::39,case4,39,train
case4::40,case4,40,train
case4::41,case4,41,train
case4::42,case4,42,train
case4::43,case4,43,train
case4::44,case4,44,train
case4::45,case4,45,train
case4::46,case4,46,train
case4::47,case4,47,train
case4::48,case4,48,train
case4::49,case4,49,train
case4::50,case4,50,train
case4::51,case4,51,train
case4::52,case4,52,train
case4::53,case4,53,test
case4::54,case4,54,train
case4::55,case4,55,train
case4::56,case4,56,train
case4::57,case4,57,validation
case4::58,case4,58,train
case4::59,case4,59,train
case4::60,case4,60,validation
case4::61,case4,61,test
case4::62,case4,62,train
case4::63,case4,63,train
case4::64,case4,64,train
case4::65,case4,65,train
case4::66,case4,66,test
case4::67,case4,67,train
case4::68,case4,68,train
case4::69,case4,69,validation
case4::70,case4,70,test
case4::71,case4,71,validation
case4::72,case4,72,train
case4::73,case4,73,train
case4::74,case4,74,test
case4::75,case4,75,train
case4::76,case4,76,test
case4::77,case4,77,validation
case4::78,case4,78,train
case4::79,case4,79,train
case4::80,case4,80,train
case4::81,case4,81,train
case4::82,case4,82,train
case4::83,case4,83,train
case4::84,case4,84,train
case4::85,case4,85,train
case4::86,case4,86,train
case4::87,case4,87,train
case4::88,case4,88,train
case4::89,case4,89,test
case4::90,case4,90,train
case4::91,case4,91,validation
case4::92,case4,92,train
case4::93,case4,93,train
case4::94,case4,94,test
case4::95,case4,95,test
case4::96,case4,96,test
case4::97,case4,97,test
case4::98,case4,98,validation
case4::99,case4,99,train
case4::100,case4,100,train
case5::1,case5,1,train
case5::2,case5,2,test
case5::3,case5,3,test
case5::4,case5,4,train
case5::5,case5,5,validation
case5::6,case5,6,test
case5::7,case5,7,train
case5::8,case5,8,train
case5::9,case5,9,train
case5::10,case5,10,train
case5::11,case5,11,test
case5::12,case5,12,train
case5::13,case5,13,train
case5::14,case5,14,train
case5::15,case5,15,train
case5::16,case5,16,train
case5::17,case5,17,validation
case5::18,case5,18,validation
case5::19,case5,19,train
case5::20,case5,20,train
case5::21,case5,21,train
case5::22,case5,22,test
case5::23,case5,23,train
case5::24,case5,24,train
case5::25,case5,25,train
case5::26,case5,26,train
case5::27,case5,27,test
case5::28,case5,28,train
case5::29,case5,29,train
case5::30,case5,30,train
case5::31,case5,31,train
case5::32,case5,32,train
case5::33,case5,33,test
case5::34,case5,34,train
case5::35,case5,35,train
case5::36,case5,36,validation
case5::37,case5,37,train
case5::38,case5,38,test
case5::39,case5,39,train
case5::40,case5,40,train
case5::41,case5,41,train
case5::42,case5,42,test
case5::43,case5,43,train
case5::44,case5,44,train
case5::45,case5,45,validation
case5::46,case5,46,train
case5::47,case5,47,train
case5::48,case5,48,validation
case5::49,case5,49,train
case5::50,case5,50,train
case5::51,case5,51,validation
case5::52,case5,52,train
case5::53,case5,53,train
case5::54,case5,54,train
case5::55,case5,55,test
case5::56,case5,56,train
case5::57,case5,57,train
case5::58,case5,58,train
case5::59,case5,59,test
case5::60,case5,60,train
case5::61,case5,61,train
case5::62,case5,62,train
case5::63,case5,63,train
case5::64,case5,64,train
case5::65,case5,65,train
case5::66,case5,66,train
case5::67,case5,67,train
case5::68,case5,68,validation
case5::69,case5,69,validation
case5::70,case5,70,validation
case5::71,case5,71,train
case5::72,case5,72,train
case5::73,case5,73,test
case5::74,case5,74,train
case5::75,case5,75,test
case5::76,case5,76,train
case5::77,case5,77,train
case5::78,case5,78,validation
case5::79,case5,79,train
case5::80,case5,80,validation
case5::81,case5,81,validation
case5::82,case5,82,train
case5::83,case5,83,train
case5::84,case5,84,train
case5::85,case5,85,train
case5::86,case5,86,validation
case5::87,case5,87,test
case5::88,case5,88,train
case5::89,case5,89,train
case5::90,case5,90,train
case5::91,case5,91,train
case5::92,case5,92,validation
case5::93,case5,93,train
case5::94,case5,94,train
case5::95,case5,95,train
case5::96,case5,96,train
case5::97,case5,97,train
case5::98,case5,98,test
case5::99,case5,99,train
case5::100,case5,100,train
case6::1,case6,1,train
case6::2,case6,2,train
case6::3,case6,3,train
case6::4,case6,4,test
case6::5,case6,5,train
case6::6,case6,6,train
case6::7,case6,7,train
case6::8,case6,8,train
case6::9,case6,9,train
case6::10,case6,10,validation
case6::11,case6,11,test
case6::12,case6,12,train
case6::13,case6,13,train
case6::14,case6,14,train
case6::15,case6,15,train
case6::16,case6,16,validation
case6::17,case6,17,test
case6::18,case6,18,test
case6::19,case6,19,train
case6::20,case6,20,train
case6::21,case6,21,train
case6::22,case6,22,test
case6::23,case6,23,validation
case6::24,case6,24,train
case6::25,case6,25,train
case6::26,case6,26,train
case6::27,case6,27,train
case6::28,case6,28,test
case6::29,case6,29,validation
case6::30,case6,30,train
case6::31,case6,31,train
case6::32,case6,32,train
case6::33,case6,33,test
case6::34,case6,34,train
case6::35,case6,35,train
case6::36,case6,36,validation
case6::37,case6,37,train
case6::38,case6,38,validation
case6::39,case6,39,validation
case6::40,case6,40,train
case6::41,case6,41,train
case6::42,case6,42,train
case6::43,case6,43,train
case6::44,case6,44,train
case6::45,case6,45,train
case6::46,case6,46,validation
case6::47,case6,47,validation
case6::48,case6,48,test
case6::49,case6,49,train
case6::50,case6,50,train
case6::51,case6,51,train
case6::52,case6,52,train
case6::53,case6,53,train
case6::54,case6,54,test
case6::55,case6,55,train
case6::56,case6,56,train
case6::57,case6,57,test
case6::58,case6,58,train
case6::59,case6,59,test
case6::60,case6,60,train
case6::61,case6,61,validation
case6::62,case6,62,train
case6::63,case6,63,test
case6::64,case6,64,train
case6::65,case6,65,train
case6::66,case6,66,train
case6::67,case6,67,train
case6::68,case6,68,train
case6::69,case6,69,train
case6::70,case6,70,train
case6::71,case6,71,validation
case6::72,case6,72,train
case6::73,case6,73,validation
case6::74,case6,74,train
case6::75,case6,75,train
case6::76,case6,76,train
case6::77,case6,77,train
case6::78,case6,78,test
case6::79,case6,79,train
case6::80,case6,80,validation
case6::81,case6,81,train
case6::82,case6,82,train
case6::83,case6,83,train
case6::84,case6,84,test
case6::85,case6,85,train
case6::86,case6,86,validation
case6::87,case6,87,train
case6::88,case6,88,train
case6::89,case6,89,train
case6::90,case6,90,train
case6::91,case6,91,train
case6::92,case6,92,train
case6::93,case6,93,train
case6::94,case6,94,validation
case6::95,case6,95,test
case6::96,case6,96,train
case6::97,case6,97,train
case6::98,case6,98,train
case6::99,case6,99,train
case6::100,case6,100,train
